site_id,mgmt_ip,cf_Status
ST-2966,172.17.6.72,Active
ST-2987,172.17.6.119,Active
ST-2990,172.17.13.168,Active
ST-2991,10.8.43.241,Active
ST-3002,10.8.44.2,Active
ST-3013,172.17.6.247,Active
ST-3018,172.17.13.172,Active
ST-3037,172.17.8.21,Active
ST-3039,172.17.7.148,Active
ST-3051,172.17.6.248,Active
ST-3054,172.17.3.229,Active
ST-3065,172.17.6.180,Active
ST-3067,172.17.6.71,Active
ST-3070,10.8.44.70,Active
ST-3077,172.17.6.122,Active
ST-3079,172.17.7.97,Active
ST-3080,10.8.44.80,Active
ST-3089,172.17.7.95,Active
ST-3104,172.17.6.29,Active
ST-3120,172.17.12.78,Active
ST-3121,172.17.13.160,Active
ST-3122,172.17.13.26,Active
ST-3126,172.17.6.127,Active
ST-3143,172.17.6.243,Active
ST-3144,172.17.6.75,Active
ST-3149,10.10.0.170,Active
ST-3155,10.8.44.155,Active
ST-3159,172.17.6.187,Active
ST-3164,172.17.6.30,Active
ST-3165,10.10.1.46,Active
ST-3176,172.17.7.94,Active
ST-3179,172.17.3.92,Active
ST-3189,172.17.13.177,Active
ST-3205,172.17.6.128,Active
ST-3206,172.17.6.246,Active
ST-3207,172.17.6.177,Active
ST-3212,172.17.7.145,Active
ST-3236,10.8.44.236,Active
ST-3237,172.17.8.78,Active
ST-3241,172.17.7.117,Active
ST-3249,10.8.44.249,Active
ST-3254,172.17.6.182,Active
ST-3255,172.17.7.147,Active
ST-3257,172.17.6.74,Active
ST-3275,10.10.0.90,Active
ST-3296,10.10.4.110,Active
ST-3305,172.17.7.96,Active
ST-3315,172.17.7.116,Active
ST-3318,172.17.7.61,Active
ST-3330,172.17.7.115,Active
ST-3331,172.17.6.181,Active
ST-3335,10.10.1.74,Active
ST-3336,172.17.8.54,Active
ST-3341,172.17.7.82,Active
ST-3345,172.17.7.64,Active
ST-3370,172.17.8.150,Active
ST-3374,172.17.7.173,Active
ST-3375,172.17.8.156,Active
ST-3388,172.17.7.143,Active
ST-3389,172.17.8.26,Active
ST-3394,172.17.8.83,Active
ST-3413,10.10.6.90,Active
ST-3422,10.10.9.182,Active
ST-3423,10.10.0.50,Active
ST-3424,172.17.7.144,Active
ST-3430,172.17.12.180,Active
ST-3453,172.17.8.53,Active
ST-3469,172.17.8.77,Active
ST-3470,172.17.7.246,Active
ST-3473,172.17.7.248,Active
ST-3474,172.17.8.79,Active
ST-3475,10.10.35.54,Active
ST-3476,172.17.13.28,Active
ST-3477,172.17.8.81,Active
ST-3486,10.10.23.10,Active
ST-3488,172.17.8.159,Active
