site_id,cf_Status
ST-0627,ACTIVE
ST-0630,ACTIVE
ST-0632,ACTIVE
ST-0636,ACTIVE
ST-0641,ACTIVE
ST-0643,ACTIVE
ST-0645,ACTIVE
ST-0648,ACTIVE
ST-0649,ACTIVE
ST-0656,ACTIVE
ST-0657,ACTIVE
ST-0659,ACTIVE
ST-0660,ACTIVE
ST-0663,ACTIVE
ST-0664,ACTIVE
ST-0665,ACTIVE
ST-0668,ACTIVE
ST-0669,ACTIVE
ST-0670,ACTIVE
ST-0673,ACTIVE
ST-0674,ACTIVE
ST-0675,ACTIVE
ST-0676,ACTIVE
ST-0677,ACTIVE
ST-0679,ACTIVE
ST-0681,ACTIVE
ST-0684,ACTIVE
ST-0690,ACTIVE
ST-0696,ACTIVE
ST-0698,ACTIVE
ST-0701,ACTIVE
ST-0703,ACTIVE
ST-0704,ACTIVE
ST-0706,ACTIVE
ST-0707,ACTIVE
ST-0712,ACTIVE
ST-0715,TEMPORARILY CLOSED
ST-0716,ACTIVE
ST-0719,ACTIVE
ST-0720,ACTIVE
ST-0722,TEMPORARILY CLOSED
ST-0724,ACTIVE
ST-0725,ACTIVE
ST-0730,ACTIVE
ST-0733,ACTIVE
ST-0735,ACTIVE
ST-0742,TEMPORARILY CLOSED
ST-0744,ACTIVE
ST-0745,ACTIVE
ST-0749,ACTIVE
ST-0750,ACTIVE
ST-0751,ACTIVE
ST-0758,ACTIVE
ST-0760,ACTIVE
ST-0762,TEMPORARILY CLOSED
ST-0763,TEMPORARILY CLOSED
ST-0764,TEMPORARILY CLOSED
ST-0766,ACTIVE
ST-0768,ACTIVE
ST-0770,ACTIVE
ST-0773,ACTIVE
ST-0779,ACTIVE
ST-0780,ACTIVE
ST-0782,ACTIVE
ST-0786,ACTIVE
ST-0792,ACTIVE
ST-0794,ACTIVE
ST-0795,ACTIVE
ST-0797,ACTIVE
ST-0798,ACTIVE
ST-0801,ACTIVE
ST-0802,ACTIVE
ST-0805,ACTIVE
ST-0817,ACTIVE
ST-0819,ACTIVE
ST-0821,ACTIVE
ST-0834,ACTIVE
ST-0835,ACTIVE
ST-0836,ACTIVE
ST-0841,ACTIVE
ST-0850,ACTIVE
ST-0855,ACTIVE
ST-0860,ACTIVE
ST-0868,ACTIVE
ST-0869,ACTIVE
ST-0870,ACTIVE
ST-0871,ACTIVE
ST-0874,ACTIVE
ST-0877,ACTIVE
ST-0896,ACTIVE
ST-0899,ACTIVE
ST-0902,ACTIVE
ST-0906,ACTIVE
ST-0909,ACTIVE
ST-0937,ACTIVE
ST-0940,ACTIVE
ST-0963,ACTIVE
ST-0973,ACTIVE
ST-0974,ACTIVE
ST-0983,ACTIVE
ST-0985,ACTIVE
ST-0986,TEMPORARILY CLOSED
ST-0987,ACTIVE
ST-0988,ACTIVE
ST-0997,ACTIVE
ST-1009,ACTIVE
ST-1015,ACTIVE
ST-1017,TEMPORARILY CLOSED
ST-1037,ACTIVE
ST-1041,ACTIVE
ST-1043,ACTIVE
ST-1046,TEMPORARILY CLOSED
ST-1051,ACTIVE
ST-1055,ACTIVE
ST-1061,ACTIVE
ST-1068,ACTIVE
ST-1069,ACTIVE
ST-1076,ACTIVE
ST-1077,ACTIVE
ST-1080,ACTIVE
ST-1083,ACTIVE
ST-1086,ACTIVE
ST-1096,ACTIVE
ST-1097,ACTIVE
ST-1100,ACTIVE
ST-1101,TEMPORARILY CLOSED
ST-1102,ACTIVE
ST-1108,ACTIVE
ST-1110,ACTIVE
ST-1112,ACTIVE
ST-1113,ACTIVE
ST-1117,ACTIVE
ST-1118,ACTIVE
ST-1122,ACTIVE
ST-1123,ACTIVE
ST-1128,ACTIVE
