site_id,site_name,mgmt_ip,vendor,cpe_type,region,Address,Island Group,City,Zip Code,parent_region
ST-0085,FB Harrison,10.10.7.150,MIKROTIK,RB951,Metro Manila,"F.B. Harisson St. cor. Vito Cruz, Manila",Luzon,City of Manila,1004,patch01
ST-0086,Tayuman,10.10.12.54,MIKROTIK,RB951,Metro Manila,"Tayuman St. cor. Rizal Ave., Manila",Luzon,City of Manila,1014,patch01
ST-0087,Imus1,10.10.38.6,MIKROTIK,RB951,Cavite,"Aguinaldo Highway cor. Tanzang Luma, Imus Cavite",Luzon,Imus,4103,patch01
ST-0088,Antipolo Junction,10.10.9.50,MIKROTIK,RB951,Rizal,"Circumferential Rd. cor. M.L. Quezon St., Anipolo, Rizal",Luzon,Antipolo,1870,patch01
ST-0093,Meycauayan 2,10.10.1.150,MIKROTIK,RB951,Bulacan,"Mc Arthur Hi-way cor. Malhakan Rd., Meycauayan, Bulacan",Luzon,Meycauayan,3020,patch01
ST-0096,San Pedro2,10.10.6.142,MIKROTIK,RB951,Laguna,"A. Mabini St. cor. Garcia St. San Pedro, Laguna",Luzon,San Pedro,4023,patch01
ST-0100,Balibago,10.10.11.54,MIKROTIK,RB951,Laguna,"National Highway cor. R. Lasaga St., Balibago",Luzon,Sta. Rosa,4026,patch01
ST-0101,Blumentritt 2,10.10.7.158,MIKROTIK,RB951,Metro Manila,"Blumentritt St. cor. Isagani St. Sampaloc, Manila",Luzon,City of Manila,1008,patch01
ST-0103,Kabihasnan,10.10.12.158,MIKROTIK,RB951,Metro Manila,Kabihasnan St. cor. San Dionisio  Para�aque,Luzon,Para�aque City,1709,patch01
ST-0106,Tamaraw Hills,10.10.7.66,MIKROTIK,RB951,Metro Manila,"Mc Arthur Hi-way cor. Tamarraw Hills, Marulas, Valenzuela",Luzon,Valenzuela City,1440,patch01
ST-0107,Cabuyao,10.10.14.46,MIKROTIK,RB951,Laguna,"J.P. Rizal cor. Circumferencial Ave., Cabuyao, Laguna",Luzon,Cabuyao,4025,patch01
ST-0108,Chico,10.10.18.242,MIKROTIK,RB951,Metro Manila,"Chico St. cor. Anonas St., Proj. 2, Q.C.",Luzon,Quezon City,1102,patch01
ST-0112,San Pablo 1,10.10.3.110,MIKROTIK,RB951,Laguna,"Rizal Ave., cor. A. Flores St., San Pablo City",Luzon,San Pablo City,4000,patch01
ST-0116,Salinas,10.10.16.130,MIKROTIK,RB951,Cavite,"193 Gen. Trias Drive, Rosario, Cavite",Luzon,Rosario,4106,patch01
ST-0119,Binan 2,10.10.7.186,MIKROTIK,RB951,Laguna,"National Highway cor. Malvar St., Bi�an, Laguna",Luzon,Bi�an,4024,patch01
ST-0120,Balagtas,10.10.21.154,MIKROTIK,RB951,Bulacan,"Mc Arthur Hi-way, Wawa, Balagtas, Bulacan",Luzon,Balagtas,3016,patch01
ST-0122,BF Resort,10.10.17.142,MIKROTIK,RB951,Metro Manila,"Alabang Zapote rd. cor. BF Resort Drive, Pamplona",Luzon,Las Pi�as,1740,patch01
ST-0123,Parang,10.10.14.6,MIKROTIK,RB951,Metro Manila,"G. del Pilar cor., M.L. Quezon, Parang, Marikina",Luzon,Marikina City,1809,patch01
ST-0125,JP Ramoy,10.10.3.94,MIKROTIK,RB951,Metro Manila,"Quirino Highway cor. J.P. Ramoy, Barrio Talipapa, Novaliches, Q.C.",Luzon,Quezon City,1123,patch01
ST-0126,Parola,10.10.9.58,MIKROTIK,RB951,Rizal,"A. Bonifacio Avenue, San Andres, Cainta, Rizal",Luzon,Cainta,1900,patch01
ST-0127,Tatlong Hari,10.10.0.198,MIKROTIK,RB951,Laguna,"Rizal Blvd. nr. cor. Tatlong Hari St., Sta. Rosa, Laguna",Luzon,Sta. Rosa,4026,patch01
