site_id,site_name,mgmt_ip,vendor,cpe_type
ST-3111,CTS Mactan,172.17.7.176,RUIJIE,RSR10
ST-3027,Moalboal 2,172.17.6.32,RUIJIE,RSR10
ST-1715,Pier 1,172.17.6.31,RUIJIE,RSR10
ST-1587,Bulacao Pardo,172.17.8.29,RUIJIE,RSR10
ST-2425,Oslob,172.17.8.20,RUIJIE,RSR10
ST-0946,Capitol,172.17.8.30,RUIJIE,RSR10
ST-1283,Caltex Opon,172.17.8.28,RUIJIE,RSR10
ST-1588,Tuburan,172.17.8.207,RUIJIE,RSR10
ST-3229,Mantalongon-Barili,172.17.8.115,RUIJIE,RSR10
ST-3216,Solinea,172.17.8.114,RUIJIE,RSR10
ST-1323,City Timesquare,172.17.7.92,RUIJIE,RSR10
ST-3408,Central Bloc,172.17.8.112,RUIJIE,RSR10
ST-3592,Benedicto College,172.17.8.113,RUIJIE,RSR10
ST-3520,Bacong Negros,172.17.8.37,RUIJIE,RSR10
ST-2311,Sundance Residences,10.8.41.61,RUIJIE,RSR10
ST-1463,Gaisano Cordova,172.17.0.79,RUIJIE,RSR10
ST-2486,Saekyung Village,10.8.41.236,RUIJIE,RSR10
ST-3761,Bohol Jagna,172.17.8.178,RUIJIE,RSR10
ST-2993,Jones 2,172.17.8.223,RUIJIE,RSR10
ST-1432,Tayud Liloan,172.17.8.209,RUIJIE,RSR10
ST-2820,Galleria Luisa,172.17.8.227,RUIJIE,RSR10
ST-3749,JGY Hotel,172.17.8.180,RUIJIE,RSR10
ST-2552,Marina Mall,172.17.1.112,RUIJIE,RSR10
ST-3228,Cebu Lite Port,172.17.7.120,RUIJIE,RSR10
ST-2657,Catmon Cebu,172.17.1.115,RUIJIE,RSR10
ST-1400,Guadalupe Church,172.17.3.88,RUIJIE,RSR10
ST-3166,Loboc-Bohol,172.17.7.177,RUIJIE,RSR10
ST-2736,MIT Building,10.8.42.236,RUIJIE,RSR10
ST-1007,Labogon,10.10.20.198,MIKROTIK,RB951
ST-1957,APM Central,10.10.21.222,MIKROTIK,RB951
ST-0947,CDU,10.10.27.70,MIKROTIK,RB951
ST-3992,Tubigon,10.10.28.194,MIKROTIK,RB951
ST-3859,Tawala Panglao,10.10.31.126,MIKROTIK,RB951
ST-2195,Sangi,10.10.39.62,MIKROTIK,RB951
ST-1157,Plaza Borromeo,10.10.4.22,MIKROTIK,RB951
ST-1127,USJR Basak,10.10.4.70,MIKROTIK,RB951
ST-1073,MSI Lapu-Lapu,10.10.5.34,MIKROTIK,RB951
ST-1050,UV Main,10.10.9.166,MIKROTIK,RB951
ST-1953,Island Central,172.17.1.11,RUIJIE,RSR10
ST-1217,I1 Bldg,172.17.13.193,RUIJIE,RSR10
ST-3875,MCIA 2,172.17.13.252,RUIJIE,RSR10
ST-2219,Antigua's Place,172.17.2.213,RUIJIE,RSR10
ST-1281,Bayfront,172.17.2.48,RUIJIE,RSR10
ST-1802,FLB,172.17.3.67,RUIJIE,RSR10
ST-1272,Sacred Heart Hospital,172.17.6.27,RUIJIE,RSR10
ST-2989,Bohol-Carmen,172.17.6.221,RUIJIE,RSR10
ST-3102,Bais City,172.17.7.182,RUIJIE,RSR10
ST-3693,Belmont,172.17.8.111,RUIJIE,RSR10
ST-1652,Cebu St. Mary's,172.17.8.31,RUIJIE,RSR10
ST-2318,ADG I.T. Center,10.8.41.68,RUIJIE,RSR10
ST-0935,Tune Hotel ,172.17.0.69,RUIJIE,RSR10
ST-1029,Caltex Tipolo,10.10.9.158,MIKROTIK,RB951
ST-1060,J. Centre ,10.10.21.150,MIKROTIK,RB951
