site_id,mgmt_ip,cf_Status,tag_location,tag_dctech
ST-1181,10.10.28.178,Active,luzon,na
ST-1188,172.17.6.161,Active,luzon,na
ST-1189,10.10.32.202,Active,luzon,na
ST-1207,172.17.13.169,Active,luzon,na
ST-1228,10.10.3.210,Active,luzon,na
ST-1246,172.17.12.120,Active,luzon,na
ST-1249,10.10.22.22,Active,luzon,na
ST-1250,10.10.3.186,Active,luzon,na
ST-1252,10.10.3.178,Active,luzon,na
ST-1253,10.10.3.174,Active,luzon,na
ST-1259,10.10.41.202,Active,luzon,na
ST-1301,10.10.20.186,Active,luzon,na
ST-1312,10.10.3.158,Active,luzon,na
ST-1337,172.17.2.95,Active,luzon,na
ST-1350,10.10.3.154,Active,luzon,na
ST-1421,172.17.0.253,Active,luzon,na
ST-1428,10.10.20.82,Active,luzon,na
ST-1429,10.10.21.66,Active,luzon,na
ST-1436,172.17.6.88,Active,luzon,na
ST-1473,10.8.37.223,Active,luzon,na
ST-1506,10.10.31.10,Active,luzon,na
ST-1520,10.10.20.70,Active,luzon,na
ST-1539,10.10.19.226,Active,luzon,na
ST-1547,172.17.1.69,Temporarily Closed,luzon,na
ST-1548,10.10.26.122,Active,luzon,na
ST-1552,10.10.22.190,Active,luzon,na
ST-1558,10.10.23.238,Active,luzon,na
ST-1567,10.10.25.86,Active,luzon,na
ST-1575,10.10.24.142,Active,luzon,na
ST-1576,172.17.12.27,Active,luzon,na
ST-1577,10.10.20.94,Active,luzon,na
ST-1578,10.10.22.182,Active,luzon,na
ST-1609,10.10.25.46,Active,luzon,na
ST-1610,10.10.22.242,Temporarily Closed,luzon,na
ST-1631,10.10.29.214,Active,luzon,na
ST-1658,10.10.28.146,Active,luzon,na
ST-1659,10.10.24.126,Active,luzon,na
ST-1667,10.10.24.22,Active,luzon,na
ST-1697,10.10.24.206,Active,luzon,na
ST-1699,10.10.25.66,Active,luzon,na
ST-1719,10.10.38.78,Active,luzon,na
ST-1723,10.10.28.10,Active,luzon,na
ST-1732,172.17.0.94,Active,luzon,na
ST-1733,10.10.30.234,Active,luzon,na
ST-1734,172.17.3.110,Active,luzon,na
ST-1739,10.10.24.6,Active,luzon,na
ST-1741,10.10.25.202,Active,luzon,na
ST-1743,10.10.26.94,Active,luzon,na
ST-1758,10.10.26.130,Active,luzon,na
ST-1759,10.10.30.102,Active,luzon,na
ST-1766,10.10.29.218,Active,luzon,na
ST-1777,10.10.25.38,Active,luzon,na
ST-1781,10.10.26.154,Active,luzon,na
ST-1782,172.17.0.97,Active,luzon,na
ST-1786,10.10.29.62,Active,luzon,na
ST-1793,10.10.25.82,Active,luzon,na
ST-1855,10.10.27.146,Active,luzon,na
ST-1856,10.10.26.138,Active,luzon,na
ST-1870,10.10.29.186,Active,luzon,na
ST-1874,10.10.30.242,Active,luzon,na
ST-1885,10.10.28.14,Active,luzon,na
ST-1927,10.10.35.142,Active,luzon,na
ST-1928,10.10.30.34,Active,luzon,na
ST-1929,172.17.2.22,Active,luzon,na
ST-1930,10.10.7.18,Active,luzon,na
ST-1931,10.10.27.126,Active,luzon,na
ST-1938,10.10.37.66,Active,luzon,na
ST-1973,172.17.2.2,Temporarily Closed,luzon,na
ST-2030,172.17.2.172,Active,luzon,na
ST-2034,10.10.22.70,Active,luzon,na
ST-2068,10.10.32.94,Active,luzon,na
ST-2069,172.17.3.84,Active,luzon,na
ST-2076,10.10.24.38,Active,luzon,na
ST-2083,10.10.34.118,Active,luzon,na
ST-2085,10.10.33.142,Active,luzon,na
ST-2092,10.10.7.58,Active,luzon,na
ST-2093,10.10.37.226,Active,luzon,na
ST-2099,10.8.40.99,Active,luzon,na
ST-2101,10.10.37.82,Active,luzon,na
ST-2103,10.10.31.38,Active,luzon,na
ST-2122,10.10.36.22,Active,luzon,na
ST-2155,10.10.34.134,Active,luzon,na
ST-2156,10.10.23.130,Active,luzon,na
ST-2160,172.17.3.97,Active,luzon,na
ST-2174,10.10.10.250,Active,luzon,na
ST-2186,172.17.0.123,Active,luzon,na
ST-2202,10.10.37.90,Active,luzon,na
ST-2203,172.17.6.97,Active,luzon,na
ST-2207,10.10.37.22,Active,luzon,na
ST-2241,10.8.40.241,Active,luzon,na
ST-2253,172.17.2.118,Active,luzon,na
ST-2265,172.17.0.221,Active,luzon,na
ST-2270,172.17.7.26,Temporarily Closed,luzon,na
ST-2277,10.10.23.38,Active,luzon,na
ST-2288,10.10.8.10,Active,luzon,na
ST-2333,10.8.41.83,Active,luzon,na
ST-2337,172.17.2.191,Active,luzon,na
ST-2338,172.17.0.224,Active,luzon,na
ST-2340,10.10.37.198,Active,luzon,na
ST-2377,10.10.12.218,Active,luzon,na
ST-2401,10.10.38.190,Active,luzon,na
ST-2415,10.10.19.42,Active,luzon,na
ST-2417,10.10.39.122,Active,luzon,na
ST-2466,172.17.13.104,Active,luzon,na
ST-2470,172.17.13.81,Active,luzon,na
ST-2471,172.17.1.77,Active,luzon,na
ST-2472,10.10.38.22,Active,luzon,na
ST-2479,172.17.13.187,Active,luzon,na
ST-2483,172.17.1.10,Active,luzon,na
ST-2494,172.17.2.128,Active,luzon,na
ST-2497,10.8.41.247,Active,luzon,na
ST-2503,172.17.8.8,Active,luzon,na
ST-2509,172.17.1.32,Active,luzon,na
ST-2518,10.10.24.30,Active,luzon,na
